call_number,latency_seconds
1,0.03693532943725586
2,0.02573871612548828
3,0.0252835750579834
4,0.028033018112182617
5,0.024965763092041016
6,0.02691793441772461
7,0.02541518211364746
8,0.027277708053588867
9,0.06979894638061523
10,0.02638387680053711
11,0.025302648544311523
12,0.024670124053955078
13,0.026903152465820312
14,0.02642083168029785
15,0.0253143310546875
16,0.026747703552246094
17,0.028017044067382812
18,0.03142428398132324
19,0.029280900955200195
20,0.027607440948486328
21,0.025975942611694336
22,0.028806209564208984
23,0.025771141052246094
24,0.02766561508178711
25,0.02715921401977539
26,0.02729058265686035
27,0.02645421028137207
28,0.027459383010864258
29,0.02663397789001465
30,0.027224302291870117
31,0.025566816329956055
32,0.02734851837158203
33,0.026982545852661133
34,0.025986671447753906
35,0.02686905860900879
36,0.0261688232421875
37,0.02556324005126953
38,0.03040337562561035
39,0.027229785919189453
40,0.026586055755615234
41,0.0295407772064209
42,0.02590346336364746
43,0.02657175064086914
44,0.026041030883789062
45,0.02677178382873535
46,0.02689838409423828
47,0.027243375778198242
48,0.02697896957397461
49,0.027289867401123047
50,0.029276371002197266
51,0.026884794235229492
52,0.026479721069335938
53,0.025858402252197266
54,0.02871251106262207
55,0.026794910430908203
56,0.028705358505249023
57,0.026830673217773438
58,0.025350570678710938
59,0.026242494583129883
60,0.02766251564025879
61,0.02710866928100586
62,0.025618553161621094
63,0.04100966453552246
64,0.029875755310058594
65,0.026985883712768555
66,0.028105974197387695
67,0.02710270881652832
68,0.024770021438598633
69,0.026983976364135742
70,0.03081059455871582
71,0.02736210823059082
72,0.027654170989990234
73,0.02596116065979004
74,0.026767730712890625
75,0.02695775032043457
76,0.02747344970703125
77,0.02570199966430664
78,0.025987625122070312
79,0.027945756912231445
80,0.026002168655395508
81,0.03284144401550293
82,0.027828216552734375
83,0.025413036346435547
84,0.025910139083862305
85,0.025062084197998047
86,0.02518773078918457
87,0.028801441192626953
88,0.026860713958740234
89,0.025733232498168945
90,0.026709318161010742
91,0.025484561920166016
92,0.02760624885559082
93,0.026190519332885742
94,0.027432680130004883
95,0.02984166145324707
96,0.031049489974975586
97,0.023916244506835938
98,0.02572154998779297
99,0.026753664016723633
100,0.030606508255004883
